website,loc,lastmod,cured_name
GuyInACube,https://www.youtube.com/watch?v=wEcRTSNhtLg,2023 06 06,Understanding OneLake within Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=VdwsJ-Ix-oc,2023 06 01,Leverage the Microsoft Fabric Trial
GuyInACube,https://www.youtube.com/watch?v=zG2yyJzMooM,2023 05 31,Why can&#39;t I use Microsoft Fabric?
GuyInACube,https://www.youtube.com/watch?v=-f0XIVEP7bE,2023 05 30,What is Microsoft Fabric (Public Preview)?
GuyInACube,https://www.youtube.com/watch?v=5pg9MlQy9cE,2023 05 27,"REPLAY Let&#39;s talk Microsoft Fabric - LIVE w/ Matthew Roche (May 27, 2023)"
GuyInACube,https://www.youtube.com/watch?v=wdDx0-jvl7w,2023 05 25,Microsoft Fabric Launch Digital Event (Day 2)
GuyInACube,https://www.youtube.com/watch?v=6QusOchmSXQ,2023 05 25,What does Microsoft Fabric mean for Guy in a Cube?
GuyInACube,https://www.youtube.com/watch?v=tMx3rhl43b4,2023 05 24,REPLAY Microsoft Fabric Discussion - May 2023 Social Hour
GuyInACube,https://www.youtube.com/watch?v=5jlP0wdEsls,2023 05 24,Microsoft Fabric Launch Digital Event (Day 1)
GuyInACube,https://www.youtube.com/watch?v=TprbclJaSJU,2023 05 22,Don’t miss out of Microsoft Build! #powerbi
GuyInACube,https://www.youtube.com/watch?v=nY54EX6_vd0,2023 05 20,"REPLAY Power BI tips from the Pros - LIVE (May 20, 2023)"
GuyInACube,https://www.youtube.com/watch?v=pM7LUBfkpDs,2023 05 18,What does Tooltip Auto-scale actually do in your Power BI Report?
GuyInACube,https://www.youtube.com/watch?v=eYxRHJ0hB_E,2023 05 17,Enabling Drillthrough with Power BI On-Object Editing
GuyInACube,https://www.youtube.com/watch?v=m2lYsQ9t-5k,2023 05 16,Are you using your licenses correct? See where Azure Hybrid Benefits can help!
GuyInACube,https://www.youtube.com/watch?v=pKkav_W-jiQ,2023 05 11,Want a BEAUTIFUL Power BI Report? Start here!
GuyInACube,https://www.youtube.com/watch?v=8vGwBedcXQA,2023 05 10,Why is there a limited relationship when using the same data source?
GuyInACube,https://www.youtube.com/watch?v=AbiYgh9RD2U,2023 05 09,Controlling cost with Azure Synapse Serverless Pools
GuyInACube,https://www.youtube.com/watch?v=N2WLzB8GOlk,2023 05 06,"REPLAY Power BI tips from the Pros - LIVE (May 6, 2023)"
GuyInACube,https://www.youtube.com/watch?v=ZKodkcOb3WI,2023 05 04,The HEART of Power BI
GuyInACube,https://www.youtube.com/watch?v=WyvfZMaXLBs,2023 05 03,RLS in the source? How does this work with DirectQuery and Import in Power BI?
GuyInACube,https://www.youtube.com/watch?v=uXes0AEQJps,2023 05 02,How to SCHEDULE your notebooks to run with Azure Synapse
GuyInACube,https://www.youtube.com/watch?v=K6DpOJM6b7E,2023 04 20,ChatGPT blew my mind with this Power BI scenario
GuyInACube,https://www.youtube.com/watch?v=xL6DvHYjBVs,2023 04 19,3 tips for the new On-Object editing of a Power BI visual
GuyInACube,https://www.youtube.com/watch?v=ldTeS-yxpSE,2023 04 18,Loop through a list using pySpark for your Azure Synapse Pipelines
GuyInACube,https://www.youtube.com/watch?v=YkNgmVdTD8E,2023 04 15,"REPLAY Power BI tips from the Pros - LIVE (April 15, 2023)"
GuyInACube,https://www.youtube.com/watch?v=7riWWVMMegE,2023 04 12,How to easily compare Server Timings using DAX Studio for your Power BI dataset
GuyInACube,https://www.youtube.com/watch?v=Ks4ekJeKjZY,2023 04 11,Use Azure SQL Managed Instance Link to have a Read Replica in the cloud!
GuyInACube,https://www.youtube.com/watch?v=iaekrjvr3Xk,2023 04 08,"REPLAY Power BI tips from the Pros - LIVE (April 8, 2023)"
GuyInACube,https://www.youtube.com/watch?v=H6sLCVanIYE,2023 04 06,Where are the Power BI Gateway logs? I thought I knew...
GuyInACube,https://www.youtube.com/watch?v=Hpx52kOodPc,2023 04 05,Setup a Reverse Hybrid Table without using Tabular Editor for Power BI!
GuyInACube,https://www.youtube.com/watch?v=k280CpPKJgc,2023 04 04,Convert CSV to Parquet using pySpark in Azure Synapse Analytics
GuyInACube,https://www.youtube.com/watch?v=gnTaUbIMfyM,2023 04 01,"REPLAY Power BI tips from the Pros - LIVE (April 1, 2023)"
GuyInACube,https://www.youtube.com/watch?v=X_1tBbPwBMg,2023 03 29,Switch a Power BI Report&#39;s dataset without needing Premium!
GuyInACube,https://www.youtube.com/watch?v=heY92V11knc,2023 03 25,REPLAY Power BI Adoption and More Q&amp;A with Melissa Coates and Matthew Roche!
GuyInACube,https://www.youtube.com/watch?v=twgsMDuwOuo,2023 03 23,Visually see where you BROKE the fold in Power Query
GuyInACube,https://www.youtube.com/watch?v=fh8HpSNNP30,2023 03 22,Checking out the new Power BI RLS Editor
GuyInACube,https://www.youtube.com/watch?v=yvV6z6OInEI,2023 03 21,What&#39;s a Junk Dimension and when should you use it?
GuyInACube,https://www.youtube.com/watch?v=zJopprZC-bE,2023 03 16,How do THIN reports work with Power BI Deployment Pipelines?
